,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
449,IFB,10,,,"₹45,750",Fully,Front,1400,5
450,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
451,BOSCH,7,4.4,"8,795","₹30,990",Fully,Front,1000,5
452,LG,7,4.4,742,"₹13,500",Semi,Top,1300,5
453,Godrej,7,4.7,,"₹20,449",Fully,Top,670,5
454,BOSCH,9,5,,"₹49,849",Fully,Front,1400,5
455,Voltas,8,4.3,"4,745","₹10,290",Semi,Top,1300,
456,Thomson,7,4,"8,785","₹7,690",Semi,Top,1600,5
457,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
458,Panasonic,10,4.1,,"₹18,490",Semi,Top,750,5
459,LG,8,4.5,78,"₹38,490",Fully,Front,1200,5
460,Thomson,9,4,"1,078","₹13,990",Fully,Top,900,5
461,realme,7,4.2,"51,609","₹7,890",Semi,Top,1400,5
462,Panasonic,8,,,"₹24,180",Fully,Top,720,5
463,Whirlpool,6,4.3,"26,624","₹16,485",Fully,Top,740,5
464,ONIDA,8,4.2,"2,075","₹9,490",Semi,Top,1450,5
465,White,7,4.2,"1,085","₹7,999",Semi,Top,1400,5
466,Thomson,7,4,"8,785","₹7,590",Semi,Top,1400,5
467,BOSCH,8,4.4,"8,786","₹35,900",Fully,Front,1400,5
468,SAMSUNG,8,4.4,"7,846","₹39,090",Fully,Front,1400,5
469,IFB,5,2.6,,"₹21,549",Fully,Front,55,5
470,realme,8,4.2,"51,609","₹9,890",Semi,Top,1400,5
471,Thomson,10,4,"8,785","₹9,799",Semi,Top,1600,
472,BOSCH,8,4.4,"9,047","₹32,990",Fully,Front,1200,5
473,Whirlpool,8,4.2,"13,531","₹18,990",Fully,Top,740,5
474,LG,11,4.2,13,"₹48,990",Fully,Front,1400,5
475,Haier,7,4.2,"1,362","₹11,690",Semi,Top,1300,5
476,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
477,BOSCH,7,4.4,"8,786","₹30,990",Fully,Front,1000,5
478,IFB,8,4.4,"3,124","₹34,590",Fully,Front,1200,5
479,White,6,3.8,74,"₹12,499",Fully,Top,700,
480,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
